FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,MANAGE_MBY_NM,WORKDAY_OPER_AT,WKEND_OPER_AT,SPR_OPER_AT,SUMR_OPER_AT,FALL_OPER_AT,WNT_OPER_AT,ELECT_PROVD_AT,HWATER_PROVD_AT,WIFI_HOLD_AT,FWOOD_SLE_AT,WLK_ROAD_AT,WATERPARK_HOLD_AT,PLY_FCLTY_HOLD_AT,MART_HOLD_AT,TOILET_CO,SHWERRM_CO,SINK_CO,FETGS_CO,CFR_FSHNG_FCLTY_AT,CFR_WLK_ROAD_FCLTY_AT,CFR_BEACH_FCLTY_AT,CFR_PRIZE_LSR_FCLTY_AT,CFR_VALL_FCLTY_AT,CFR_RIVER_FCLTY_AT,CFR_POOL_FCLTY_AT,CFR_YNGBGS_EXPRN_FCLTY_AT,CFR_FAFV_EXPRN_FCLTY_AT,CFR_CHILD_PLY_FCLTY_AT,GLAMPING_BED_HOLD_AT,GLAMPING_TV_HOLD_AT,GLAMPING_FRIDGE_HOLD_AT,GLAMPING_WIFI_HOLD_AT,GLAMPING_IN_TOILET_HOLD_AT,GLAMPING_AC_HOLD_AT,GLAMPING_HEATER_HOLD_AT,GLAMPING_CKNG_TOOL_HOLD_AT,ETC_FCLTY_DC,FCLTY_INTRCN_CN,LAST_UPDT_DE
덕풍계곡 솔밭야영장,여가활동,캠핑,자동차야영장,강원도,삼척시,가곡면,풍곡리,177-3 번지,덕풍길,928 번,37.10083422,129.1797643,25955,강원도 삼척시 가곡면 덕풍길 928,강원도 삼척시 가곡면 풍곡리 177-3,,http://tour.invil.com/front/tour/gds/data.do?contsNo=1703403,민간,Y,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,1,1,2,46,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,"개인 트레일러 입장가능, 청소년체험시설",알수없음,20221130
덕풍계곡마을야영장,여가활동,캠핑,자동차야영장,강원도,삼척시,,풍곡리,,,,37.08903333,129.1634262,25955,,강원도 삼척시 가곡면 풍곡리,0335760394,http://valley.invil.org/index.html,민간,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,1,1,2,20,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,"계곡 물놀이, 산책로, 낚시, 청소년체험시설",알수없음,20221130
덤바위 캠핑장,여가활동,캠핑,일반야영장,충청북도,진천군,문백면,은탄리,141 번지,농다리로,615 번,36.79996125,127.4822277,27867,충청북도 진천군 문백면 농다리로 615,충청북도 진천군 문백면 은탄리 141,,http://cafe.daum.net/anotherstone/,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,2,2,1,20,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,소형 반려동물 동반 가능,"덤바위 캠핑장은 충북 진천군 문백면에 자리 잡고 있다. 진천군청을 기점으로 16㎞가량 떨어졌다. 자동차를 타고 백곡로, 생거진천로, 농다리로를 번갈아 달리면 닿는다. 도착까지 걸리는 시간은 20분 안팎이다. 이곳은 고즈넉한 시골길을 달리다 보면 다다르는데, 캠핑장에 들어서면 싱그러운 숲속에 조성한 캠핑장이 캠퍼를 반긴다. 캠핑장에는 일반 야영장 40면을 마련했다. 바닥은 모두 파쇄석으로 이뤄졌으며, 사이트 크기는 가로 6m 세로 7m다. 나무로 둘러싸여 프라이빗한 공간이 있는 반면 앞이 탁 트인 사이트도 있어 선택의 폭이 넓다. 트레일러와 카라반 동반 입장은 불가능하며, 소형견에 한해 캠핑장 출입이 가능하다. 사계절 내내 운영하며, 예약은 온라인 실시간으로 받는다.  캠핑장에서 청주, 증평, 음성으로의 접근이 용이해 연계관광이 순조롭다. 증평군청 방면으로 나가면 여러 음식점이 성업 중이라서 맘에 드는 요리도 맛볼 수 있다.",20221130
도고온천모두캠핑장,여가활동,캠핑,일반야영장,충청남도,아산시,도고면,신언리,8-3 번지,도고온천로,207-20 번,36.76603998,126.8800202,31550,충청남도 아산시 도고면 도고온천로 207-20,충청남도 아산시 도고면 신언리 8-3,,http://dogocamping.modoo.at/,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,2,2,2,15,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,레일바이크 통과 지점,"도고온천모두캠핑장은 충남 아산시 도고면에 자리 잡고 있다. 아산시청을 기점으로 약 13㎞가량 떨어졌으며, 자동차를 타고 문화로, 온천대로, 도고온천로를 차례로 거치면 닿는다. 도착까지 걸리는 시간은 20분 안팎이다. 이곳은 한국 대표 온천 가운데 하나인 도고온천 인근에 위치했다. 이 덕분에 온천과 캠핑을 겸해 이곳을 찾는 캠퍼가 많다. 게다가 캠핑장 옆으로 레일바이크 선로가 있다는 것도 장점 가운데 하나다. 캠핑장에는 일반 야영장 28면을 마련했으며, 데크 14면과 파쇄석 14면으로 이뤄졌다. 사이트 크기는 가로 4m 세로 6m다. 개인 트레일러와 개인 카라반 동반 입장이 가능하다. 사계절 내내 평일과 주말을 가리지 않고 운영한다. 예약은 전화로만 가능하다.  캠핑장 인근에 도고온천, 온양온천, 세계꽃식물원 등 아산의 대표 관광지가 즐비하다. 가까운 거리에 여러 음식점도 성업 중이라 맘에 드는 요리를 맛볼 수 있다.",20221130
도그랜드 캠핑장,여가활동,캠핑,일반야영장,경기도,가평군,조종면,현리,7-2 번지,운악청계로,238-84 번,37.83552499,127.3559449,12435,경기도 가평군 조종면 운악청계로 238-84,경기도 가평군 조종면 현리 7-2,,http://doglandps.com/,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,반려동물 동반 가능,알수없음,20221130
도담오토캠핑장,여가활동,캠핑,"자동차야영장,글램핑",충청남도,태안군,남면,진산리,613-114 번지,진산1길,277-112 번,36.72064046,126.2749948,32151,충청남도 태안군 남면 진산1길 277-112,충청남도 태안군 남면 진산리 613-114,,https://blog.naver.com/ku4664,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,2,2,2,20,N,Y,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,"산책로, 강/물놀이, 수영장, 농어촌체험시설",알수없음,20221130
도둑골 야영장,여가활동,캠핑,일반야영장,경상남도,하동군,옥종면,월횡리,326-1 번지,호계천로,210 번,35.19575409,127.8587701,52312,경상남도 하동군 옥종면 호계천로 210,경상남도 하동군 옥종면 월횡리 326-1,0558838887,http://cafe.naver.com/ddgol,지자체,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"민물낚시, 수영장",알수없음,20221130
도래재별빛마을캠핑장,여가활동,캠핑,일반야영장,경상남도,밀양시,단장면,구천리,1852-7 번지,도래재로,578-10 번,35.56110661,128.942,50418,경상남도 밀양시 단장면 도래재로 578-10,경상남도 밀양시 단장면 구천리 1852-7,0553555506,http://112.218.68.156/~pensionstar/,민간,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,2,2,2,25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,밀양 얼음골에 위치,"도래재별빛마을 캠핑장은 꼬불꼬불 산길을 돌고 돌아 도래재터널 입구에 도착하면 밀양시 산내면 얼음골 사과마을이 발아래로 펼쳐지는 곳에 펜션과 야영장이 함께 있는 캠핑장이다. 캠핑장 입구에 들어서면 예쁜 카페테라스가 눈에 들어온다. 도래재에서 운영하는 커피숍이다. 많은 손님들로 항상 북적인다.     카페테라스 측면으로 돌면 수영장이 있는 펜션들과 야영장이 나온다. 캠핑장은 2군데로 나뉘어져 있으며 잘 꾸며져 있는 조경시설들과 최신시설로 꾸며진 편의시설들이 눈에 들어온다. 족구장이 있어 족구 등 배드민턴을 칠 수 있으며, 아이들이 마음놓고 뛰어다닐 수 있어 좋다. 수영장은 대형풀장으로 되어 있어 온가족이 함께 여름을 보낼 수 있으며, 밤하늘의 별빛을 가장 선명하게 관측할 수 있는 곳이기도 하다.     도래재로 넘어가는 길엔 주변 사과농장에서 직거래로 판매하는 얼음골사과도 즉석에서 맛볼 수 있다. 대도시 백화점이나 마트에서 구매하는 것 보다 훨씬 저렴한 가격에 구입할 수 있고 넉넉하게 구입가능 하다.",20221130
도레미 캠핑장,여가활동,캠핑,일반야영장,충청북도,괴산군,불정면,세평리,214 번지,관동로세평4길,24 번,36.85737249,127.8202342,28003,충청북도 괴산군 불정면 관동로세평4길 24,충청북도 괴산군 불정면 세평리 214,0438340009,www.doremicamping.com,민간,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,2,2,2,160,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,폐교 리모델링,"도레미 캠핑장은 충북 괴산군 불정면에 위치했다. 괴산군청을 기점으로 약 6㎞ 떨어졌으며, 자동차를 타고 임꺽정로와 관동로를 차례로 거치면 닿는다. 도착까지 소요시간은 10분 안팎이다. 폐교를 리모델링해 일반 캠핑장을 조성한 이곳은 감성적인 캠핑을 즐기기에 안성맞춤이다. 옛 초등학교의 흔적을 여기저기에서 발견할 수 있는 덕분이다. 파쇄석으로 이뤄진 일반 캠핑장 78면을 마련했으며, 사이트 크기는 가로 6.5.m 세로 9m다. 사계절 내내 쉬지 않고 운영하며, 예약은 온라인 실시간으로 받는다. 곳곳에 식재한 수목 덕분에 한여름에 캠핑을 즐기기에도 무리가 없다. 개인 트레일러와 카라반 입장이 가능하다는 것도 장점 가운데 하나다. 어린이를 위한 놀이시설도 알차게 마련했다.  캠핑장 인근에 산막이옛길, 쌍곡계곡 등 괴산의 유명 관광지가 즐비하다. 다양한 요리를 맛볼 수 있는 음식점도 주변에 성업 중이다.",20221130
도리돌 캠핑장,여가활동,캠핑,일반야영장,경기도,포천시,,도평리,,,,38.07546727,127.3919558,11110,,경기도 포천시 이동면 도평리,0315369003,http://도리돌캠핑장.com/,민간,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,1,1,1,15,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,백운산에 위치,"도리돌 캠핑장은 이름처럼 도리돌 마을에 위치한 곳으로 백운계곡 줄기 중 하나가 이곳을 지난다. 백운산에 둘러싸여 있어 멋진 경관을 한눈에 볼 수 있고, 캠핑장 좌우에 넓고 얕은 계곡이 있어 어린이들이 놀기 안전하고 극심한 가뭄에도 물이 마르지 않는다는 장점이 있다. 청정계곡이라 수질도 좋고 물놀이 외에도 다슬기와 물고기를 잡을 수 있다.     이곳은 계곡 외에도 주위에서 자연을 볼 수 있는데 중간 중간 황새도 보여 천연 자연을 느낄 수 있다. 그리고 캠핑장 내에 수많은 어린 나무들을 볼 수 있는데 나무는 아직 어려서 해먹을 걸면 안 되고 해먹을 가져올 경우 거치대를 빌려준다. 또한 캠핑장근처에는 딴산 유원지가 있는데 이곳에는 인공 폭포가 있어 보기만 해도 시원하다는 느낌을 준다. 산책 겸 잠시 나가서 보고 올 것을 추천한다.    참고로 도리돌캠핑장은 겨울철에는 휴장하는 경우가 있으니 동계에 접어드는 시기라면 꼭 전화 문의 후 방문하도록 하자.",20221130
도림사오토캠핑장,여가활동,캠핑,"일반야영장,카라반",전라남도,곡성군,곡성읍,구원리,553-3 번지,도림로,74 번,35.26208798,127.266772,57527,전라남도 곡성군 곡성읍 도림로 74,전라남도 곡성군 곡성읍 구원리 553-3,0613636224,http://dorimsacamping.com/main/,민간,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,3,1,3,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,늙은 소나무와 폭포가 어우러져 절경인 곳,"도림사오토캠핑장은 곡성군 곡성읍 도림로에 위치한 곳으로 자연과 벗 삼아 놀기 좋은 장소다. 도림사는 신라시대 원효가 세운 절인데 현재는 자연 속의 힐링 안식처로 인식되고 있다. 절 바로 앞엔 계곡이 있는데 계곡을 중심으로 늙은 소나무와 폭포가 어우러져 절경을 이룬다. 너른 반석으로 명경지수 폭포수가 치맛자락처럼 펼쳐지며 계곡 위쪽에는 전망이 좋고 신선이 놀고 간다는 신선바위가 있다.     캠핑장에서 차로 1분정도 소요되는 이 계곡은 누구나 즐길 수 있는데 물도 깨끗하고 자외선을 피할 수 있는 그늘막이 설치되어 있어 아이들이 물놀이하기 안성맞춤이다. 계곡 상류는 물살이 세기 때문에, 아이들과 함께 이용할 경우 하류 쪽에서 물놀이하는 것을 권한다.    이곳은 캠핑장 40면, 캐러밴 10동, 캐빈 14동으로 구성되어 있고 취사장, 샤워장과 화장실 등의 시설이 마련되어 있다. 캠핑장 인근에는 아름다운 섬진강, 보성강과 기차마을, 압록유원지, 도림사, 태안사, 천문대, 명품등산로(동악산) 등이 있어 캠핑과 더불어 즐길 수 있다.",20221130
도마치캠핑장,여가활동,캠핑,"일반야영장,자동차야영장",경기도,포천시,이동면,도평리,281-4 번지,화동로,2318-6 번,38.04993199,127.3823897,11110,경기도 포천시 이동면 화동로 2318-6,경기도 포천시 이동면 도평리 281-4,,,민간,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,2,2,2,40,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"연못, 계곡","도마치캠핑장은 포천 도마치 계곡 옆에 있는 캠핑장으로 민박과 겸업하고 있다. 민박은 선풍기, 침구류, 냉장고, 실외 나무 테이블이 있으며 취사도구는 준비해 와야 한다. 개수대는 모두 공용으로 쓰며 방은 작은방, 큰방으로 나뉘는데 작은방은 화장실, 샤워장이 객실에 개별적으로 있고 큰방은 공동 편의시설을 이용해야 한다는 차이점이 있다.    캠핑장은 몇몇 캠핑용품은 대여가 가능하고 카라반, 텐트를 이용한 캠핑이 모두 가능하다. 사이트는 구역별로 다른데 계곡 가까운 사이트, 연못 가까운 사이트, 가족형 사이트 등이 있어 홈페이지에서 참고 후 선착순으로 예약접수를 받는다. 이곳은 연못과 계곡이 모두 있는데 연못은 캠핑장 내에 있는데 분수와 함께 여러 종류의 물고기를 볼 수 있다. 도마치 계곡의 계곡물이 유입되는 연못으로 깨끗한 수질을 자랑한다. 한편, 계곡은 캠핑장 바로 앞에 있으며 바닥이 보이는 깨끗한 물에 여름에도 시원한 온도로 캠핑장 이용객들의 전용 계곡으로 쓰인다.    참고로, 이 캠핑장은 개인적인 사정으로 인하여 2018년 11월 1일 ~ 2019년 3월 31일까지 캠핑장 운영을 잠시 쉬고 2019년 4월 6일부터 재 오픈하니 2019년 봄 이후에 방문해보자.",20221130
도명산캠핑장,여가활동,캠핑,일반야영장,충청북도,괴산군,청천면,고성리,73 번지,고성4길,4-2 번,36.66002683,127.7841619,28061,충청북도 괴산군 청천면 고성4길 4-2,충청북도 괴산군 청천면 고성리 73,,http://www.도명산캠핑.com,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,2,2,3,25,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,소형 반려동물 동반 가능,알수없음,20221130
도봉야영장,여가활동,캠핑,자동차야영장,경기도,의정부시,호원동,,163 번지,창포원로,81 번,37.69535112,127.0468991,11716,경기도 의정부시 창포원로 81,경기도 의정부시 호원동 163,,,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,창포원 체육공원 옆 위치,의정부 나들목 바로 앞에 위치한 야영장으로 창포원 체육공원 옆에 붙어 있는 데 도봉산이 올려다 보이는 풍광이 아주 훌륭하다,20221130
도사곡자연휴양림야영장,여가활동,캠핑,자동차야영장,강원도,정선군,사북읍,사북리,447-15 번지,,,37.22448321,128.7920474,26150,,강원도 정선군 사북읍 사북리 447-15,0335929400,http://dosa.jsimc.or.kr/,지자체,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,2,1,2,15,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"계곡 물놀이, 산책로",알수없음,20221130
도원야영장,여가활동,캠핑,일반야영장,전라남도,화순군,이서면,영평리,93-2 번지,도원길,80-30 번,35.11102468,127.0269724,58103,전라남도 화순군 이서면 도원길 80-30,전라남도 화순군 이서면 영평리 산 93-2,0613741197,http://reservation.knps.or.kr,국립공원,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,12,1,7,32,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,무등산 도원계곡과 인접한 동쪽 자락에 위치,"국립공원공단 무등산국립공원동부사무소에서 조성한 무등산권 최초의 자연친화적 야영장으로서 무등산 도원계곡과 인접한 동쪽 자락에 위치하여 무등산을 조망하며 조용히 힐링할 수 있으며, 일회용품 쓰레기 줄이기 및 음식물 쓰레기 배출 감소를 통해 탄소중립을 실천하는 친환경 야영문화 정착을 선도하고 있다.",20221130
도원패밀리캠핑장,여가활동,캠핑,자동차야영장,강원도,영월군,무릉도원면,도원리,367 번지,엄둔길,390 번,37.32784716,128.2321775,26201,강원도 영월군 무릉도원면 엄둔길 390,강원도 영월군 무릉도원면 도원리 367,0333758009,http://cafe.naver.com/eomdundowonfamily.cafe,민간,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,4,3,4,40,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,소형 반려동물 동반 가능,알수없음,20221130
도토리캠프,여가활동,캠핑,일반야영장,경상남도,진주시,명석면,계원리,174-1 번지,광제산로,737 번,35.27655297,128.0388557,52641,경상남도 진주시 명석면 광제산로 737,경상남도 진주시 명석면 계원리 174-1,,http://cafe.naver.com/dottoricamp,민간,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,1,1,17,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,폐교 리모델링,"도토리캠프장은 폐교를 활용해 만든 곳으로 조용하고 아담한 30여 개의 파쇄석 사이트를 가지고 있는 캠핑장이다. 사이트 공간이 넓어 여유 있게 텐트를 칠 수 있어 편안한 캠핑을 즐길 수 있다. 교실 중 한 곳에 실내축구장이 있어 아이들이 축구를 하며 뛰어놀 수 있다. 다른 방에는 도서관 겸 놀이시설이 있어 도란도란 모여앉아 책을 보며 놀이에 열중한다. 주말 저녁이면 도서관에서 영화를 상영해 주고 있다.     트램펄린이 있어 아이들은 시간가는 줄 모르며 놀기에 열중하며, 여름이면 수영장에서 신나게 물놀이를 즐길 수 있다. 겨울이면 썰매장이 생겨 썰매를 탈 수 있다. 모든 편의시설이 깨끗하게 정리정돈이 잘 되어 있으며 개수대에는 최신시설의 싱크대가 있어 사용이 편리하며, 샤워장 안에는 탈의실과 드라이기가 구비되어 있어 좋다. 캠핑장에서는 초보캠퍼들을 위해 텐트장비를 풀로 대여 해주고 있으니 두려워하지 말고 도전해보자.",20221130
도학 오토캠핑장,여가활동,캠핑,자동차야영장,대구광역시,동구,도학동,,110 번지,팔공산로237길,47 번,35.98193017,128.7036644,41007,대구광역시 동구 팔공산로237길 47,대구광역시 동구 도학동 110,0539818036,http://www.daegu.go.kr/PalgongPark/Default.aspx?cid=50:17,지자체,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,1,1,1,18,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,팔공산에 위치함,"팔공산 도학지구 캠핑장은 대구광역시 동구에 위치했다. 대구광역시청을 기점으로 칠성지하도를 거쳐 공산터널을 통과하면 도착한다. 소요시간은 30분가량이다. 캠핑장은 산자수명하기로 유명해 연중 관광객의 발길이 끊이지 않는 팔공산에 자리했다. 이 때문에 캠핑과 더불어 산행을 즐기는 캠퍼가 많다. 이곳은 일반캠핑장이지만 사이트 옆에 주차를 할 수 있어 편리하다. 게다가 캠핑장 전체 면적이 넓지 않지만, 사이트 간 간격이 넓어 프라이빗한 캠핑이 가능하다. 사이트 좌우로 식재한 수목은 싱그러움을 선사하고, 한여름 따가운 햇살도 차단해준다. 캠핑장에 매점이 없지만, 가까운 거리에 슈퍼와 음식점이 많아 캠핑에 필요한 물품을 구입하기에 불편함이 없다.   캠핑장 자체가 팔공산에 있어 연계관광이 손쉽다. 음식점 역시 캠핑장 주변에 수두룩해 맘이 동하는 음식을 맛볼 수 있다.",20221130
도화지오토캠핑장,여가활동,캠핑,"일반야영장,카라반",경상북도,경산시,와촌면,대한리,131-2 번지,대한길,45-18 번,35.96980914,128.7872347,38400,경상북도 경산시 와촌면 대한길 45-18,경상북도 경산시 와촌면 대한리 131-2,,https://cafedohwaji.modoo.at/,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,2,2,1,11,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,"대규모 베이커리와 카페, 팬션을 함께 운영","도화지 오토캠핑장은 경북 경산시 와천면에 자리했다. 경산시청을 기점으로 24Km가량 떨어졌다. 자동차를 타고 대학로, 화성로, 팔공로를 차례로 거치면 닿는다. 도착까지 걸리는 시간은 45분 안팎이다. 캠핑장은 카라반 5대와 자동차 야영장 6면을 마련했다. 카라반 내부에는 침대, 침구류, 소파, TV, 냉장고, 에어컨, 식기류, 취사도구, 개수대, 화장실, 샤워실 등이 있어 일상생활이 가능할 정도다. 외부 전용 데크에는 어닝 아래 의자 일체형 테이블을 비치했다. 파쇄석으로 이뤄진 자동차 야영장은 6면이며, 사이트 크기는 가로 8m 세로 6m다. 개인 카라반과 트레일러 동반 입장이 가능하다. 화장실과 샤워장은 남녀를 구분해 2개소가 있으며, 개수대는 1개소다. 캠핑장 이외에 분위기 좋은 대규모 카페를 비롯해 베이커리, 펜션을 함께 운영한다.",20221130
독립기념관 캠핑장,여가활동,캠핑,일반야영장,충청남도,천안시 동남구,목천읍,남화리,230-1 번지,독립기념관로,1 번,36.781872,127.2303981,31232,충청남도 천안시 동남구 목천읍 독립기념관로 1,충청남도 천안시 동남구 목천읍 남화리 230-1,0415600114,https://www.i815.or.kr/2018/tour/campsite.do,지자체,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,2,6,7,104,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"독립기념관 내부에 위치, 카라반 입장 가능","독립기념관 캠핑장은 충남 천안시 동남구에 자리했다. 천안시청을 기점으로 22Km가량 떨어졌다. 자동차를 타고 시청로, 남부대로, 충절로를 차례로 거치면 닿는다. 도착까지 걸리는 시간은 40분 안팎이다. 캠핑장은 독립기념관 내부에 위치했다. 이 덕분에 캠핑을 겸해 독립기념관을 둘러볼 수 있다. 캠핑장은 4개 구역으로 나뉜다. 대한 구역은 44개 면의 사이트를 마련했으며, 카라반 입장이 허용된다. 걷는 맛을 음미하기 좋은 생태 연못과 인접하고 수목이 우거진 독립 구역은 20면이다. 통일 구역은 송림을 배경으로 펼쳐졌으며, 모두 23면이다. 만세 구역은 송림숲 안쪽에 위치했으며, 이 캠핑장에서 유일하게 데크로 이뤄졌다. 타 구역과 달리 화로대 사용이 불가능하고, 차량으로 진입할 수 없다. 하지만 무더운 여름에 천연 그늘 아래에서 캠핑을 만끽하기 제격이라는 것이 가장 큰 강점이다.",20221130
돌개 마실 캠핑장,여가활동,캠핑,자동차야영장,전라북도,부안군,진서면,석포리,196-1 번지,구룡댐길,65 번,35.60794173,126.5877815,56344,전라북도 부안군 진서면 구룡댐길 65,전라북도 부안군 진서면 석포리 196-1,,http://naesosacamping.kr/,지자체,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,1,1,0,0,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,"석포저수지 인근 위치, 대형 야외 수영장","돌개마실캠핑장은 변산반도 국립공원에서 채석강과 더불어 가장 많이 찾는 명소 내소사 앞에 있다. 내소사 공영주차장에서 바로 건너다 보인다. 찾아갈때는 내소사 주차장 지나서 다리를 건너도 되고, 아래쪽에서 석포저수지쪽으로 들어가도 된다. 이 캠핑장은 용동마을에서 관리하는 시설로 팬션동 5 객실과 18사이트 규모의 캠핑장으로 구성되어 있다. 특히 캠핑장 옆 펜션 앞에 대형 야외수영장이 있어 인기가 높다. 캠핑장에는 모닥불체험장과 남여화장실및 샤워시설과 개수대가 설치되어 있고, 물놀이장 옆에 매점과 캠핑객 대피소가 위치하고 있으며. 잔디축구장과 족구장이 갖춰져 있다.",20221130
돌고래 오토 캠핑장,여가활동,캠핑,자동차야영장,경상북도,상주시,화서면,하송리,356 번지,문장로,503-7 번,36.47266209,127.9582599,37138,경상북도 상주시 화서면 문장로 503-7,경상북도 상주시 화서면 하송리 356,,,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,4,8,10,2,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"계곡 물놀이, 산책로, 농어촌체험시설",맑은 개울과 자연이 함께하는 돌고래 오토캠핑장입니다(with.돌고래송어장),20221130
돌고래 하우스 카라반,여가활동,캠핑,일반야영장,제주특별자치도,서귀포시,강정동,,798 번지,이어도로,826-58 번,33.23272845,126.4994698,63564,제주특별자치도 서귀포시 이어도로 826-58,제주특별자치도 서귀포시 강정동 798,0647397704,http://cafe.naver.com/seo7704,민간,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,바다뷰,알수없음,20221130
돌고래오토캠핑장,여가활동,캠핑,일반야영장,충청남도,태안군,,몽산리,,,,36.68228519,126.2743854,32152,,충청남도 태안군 남면 몽산리,,http://www.mspdolphin.co.kr/svc/pv.html,민간,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,바다 인접,알수없음,20221130
돌담 캠핑&가든,여가활동,캠핑,일반야영장,인천광역시,강화군,삼산면,석모리,111-23 번지,삼산북로,397-1 번,37.70120264,126.3282328,23005,인천광역시 강화군 삼산면 삼산북로 397-1,인천광역시 강화군 삼산면 석모리 111-23,,http://xn--o39aw5krsar7ax30fxni.com/,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,소형 반려동물 동반 가능,알수없음,20221130
